시군구명,시설명,시설주소,시설종류명(시설유형),정원(수용인원),현인원,X,Y
노원구,내일을꿈꾸는사람들2호,"서울특별시 노원구 동일로237다길 37201호 (상계동, 풀래음파크빌)",(장애인) 장애인공동생활가정,3.0,4.0,204648.35398801308,563932.7007639506
도봉구,중증장애인다수고용사업장굿윌스토어밀알도봉점,서울특별시 도봉구 마들로 664-17,(장애인) 장애인근로사업장,100.0,45.0,204182.97029786682,563329.7304303336
마포구,우리마포재활치료센터,서울특별시 마포구 신촌로26길10 (노고산동),(장애인) 장애인재활치료시설,50.0,,194891.74029240635,550704.4274232584
중구,서울특별시중구장애인복지관,서울특별시 중구 퇴계로 460중구종합복지센터 4층,(장애인) 장애인복지관,0.0,190.0,202023.0938177442,551734.7159376122
금천구,금천구립장애인보호작업장,"서울특별시 금천구 한내로 69-15금천한내복지관내 (독산동, 주공13단지아파트)",(장애인) 장애인보호작업장,32.0,32.0,189997.55445534884,539747.8883185439
강북구,너나울공동생활가정,"서울특별시 강북구 인수봉로60가길 24-7201호 (수유동, 다우빌라)",(장애인) 장애인공동생활가정,4.0,4.0,201323.74857665427,559673.0146793012
강북구,참사랑너나울주간보호센터,서울특별시 강북구 한천로143길 391층 (수유동) ,(장애인) 장애인주간보호시설,15.0,12.0,202092.2266184587,560133.4361963766
동대문구,동문엔터프라이즈,"서울특별시 동대문구 한천로 58-22층, 3층 (장안동)",(장애인) 장애인보호작업장,30.0,25.0,206186.1812687562,552298.5417596299
강서구,강서구희망센터,"서울특별시 강서구 화곡로31길 25지층(화곡동), 서울특별시 강서구 강서로 34길 36 (화곡동)",(장애인) 장애인보호작업장,34.0,38.0,185992.41876574527,549325.6375525965
강서구,늘푸른집,서울특별시 강서구 금낭화로26가길 1301층 ,(장애인) 장애인단기거주시설,10.0,10.0,183383.32966162256,552019.1018095588
강남구,하상점자도서관,서울특별시 강남구 개포로 613,(장애인) 장애인복지관,30.0,30.0,206636.03868861997,543674.3661908386
강남구,광림주간보호센터,서울특별시 강남구 압구정로22길 21웨슬리관 2층,(장애인) 장애인주간보호시설,12.0,10.0,202367.6300298289,547195.1803202523
은평구,빛나눔보호작업장,서울특별시 은평구 수색로 390-29 (수색동),(장애인) 장애인보호작업장,23.0,31.0,189863.33928883687,554615.7647395222
중구,남산골주간보호센터,서울특별시 중구 퇴계로20길 41-11남산쉼터 2층 (남산동2가),(장애인) 장애인주간보호시설,15.0,13.0,198833.22248413623,551027.3456887634
서대문구,영광시각장애인모바일점자도서관,서울특별시 서대문구 세검정로 78-19올해피복지센터 2층 (홍제동),(장애인) 점자도서관,,30.0,195499.23141334546,555072.6279251041
강북구,강북장애인종합복지관주간보호시설,서울특별시 강북구 오현로 189강북장애인종합복지관(2층),(장애인) 장애인주간보호시설,10.0,12.0,203449.09886797532,558791.5486644526
강남구,밀알그린보호작업장,서울특별시 강남구 밤고개로1길 341층 101호 (수서동),(장애인) 장애인보호작업장,25.0,21.0,209168.2077280555,543248.6595002919
